upper,middle,lower
Australia,Albaniab,Armenia
Austria,Algeria,bhutan
Bahrain,Angola,bali
Barbados,Argentina,Bolivia
Belgium,Azerbaijan,Cameroon
Brunei,Belarus,Cape Verde
Darussalam,Bosnia and,Congo
Canada,Herzegovina,Côte d’Ivoire
Chileb,Botswana,Djibouti
Croatia,Brazil,Egypt
Cyprus,Bulgaria,El Salvador
Czech Republic,China,Georgia
Denmark,Colombia,Ghana
Equatorial,Costa Rica,Guatemala
Guinea,Cuba,Guyana
Estonia,Dominican,Honduras
Finland,Republic,India
France,Ecuador,Indonesia
Germany,Gabon,Lesotho
Greece,Hungary,Mauritaniab
Hong Kong,"Iran, Islamic",Moldova
SARd,Republic,Morocco
Iceland,Iraqb,Nicaragua
Ireland,Jamaica,Nigeria
Israel,Jordan,Pakistan
Italy,Kazakhstan,Papua New Guinea
Japan,Lebanon,Paraguay
Kuwait,Libya,Philippines
Latviab,Malaysia,São Tomé and
Lithuania,Mauritius,Principe
Luxembourg,Mexico,Senegal
Malta,Montenegro,Sri Lanka
Netherlands,Namibia,Sudan
New Zealand,Panama,Syrian Arab Republic
Norway,Peru,Ukraine
Oman,Romania,Uzbekistan
Poland,Serbia,Vietnam
Portugal,South Africa,"Yemen, Rep."
Qatar,Thailand,Zambia
Republic,The former,Bangladesh
of Korea,Yugoslav,Benin
Russia,Republc of,Burkina Faso
Saudi Arabia,Macedonia,Burundi
Singapore,Tunisia,Central African
Slovakia,Turkey,Republic
Republic,Turkmenistan,Chad
Slovenia,"Venezuela, RB",Comoros
Spain,,Democratic Republic
Sweden,,of the Congo
Switzerland,,Eritrea
Taiwan Province,,Ethiopia
of China,,"Gambia, The"
Trinidad and,,Guinea
Tobago,,Guinea-Bissau
uae,,Haiti
United Kingdom,,Kenya
United States,,Kyrgyz Republic
Uruguayb,,Liberia
scotland,,Madagascar
monaco,,Malawi
,,Mali
,,Mozambique
,,Myanmar
,,Nepal
,,Niger
,,Rwanda
,,Sierra Leone
,,Somalia
,,Tajikistan
,,Tanzania
,,Togo
,,Uganda
,,Zimbabwe
